Name/Address,Latitude,Longitude
500 W / 800 N (SB),40.24404900,-111.66759700
900 E / 300 N (NB),40.23766800,-111.64305100
Sandhill Rd / 1350 S (NB),40.27275300,-111.71210700
100 W @ 685 S,40.03356900,-111.73394400
State St @ 1801 S,40.20851800,-111.63023600
Main St @ 865 N,40.17898400,-111.61079500
900 N / 800 E (WB) for BYU S Campus,40.24592100,-111.64478600
1860 S @ 483 E,40.20886600,-111.65103200
Main St @ 451 S,40.16037300,-111.61048300
Main Street Station,40.27348600,-111.69465800
1600 N @ 436 E,40.32654600,-111.68580400
100 N @ 273 W,40.23504500,-111.66350900
River Park Dr / Edgewood Dr (EB),40.30269400,-111.65732200
1600 N @ 694 E,40.32619700,-111.67974700
550 W / 1800 N (SB),40.25895500,-111.66802100
800 E @ 905 S,40.28036100,-111.67620900
800 E @ 775 S,40.28298900,-111.67618100
University Ave / Center St (SB),40.23326100,-111.65888200
State St @ 1600 S. (SB),40.26821700,-111.68206900
State St @ University Pkwy. (NB),40.27205800,-111.68376100
400 N @ 340 E,40.17215600,-111.60369500
900 E / Center St (NB),40.23414400,-111.64309000
State St @ 1449 S,40.21431100,-111.63479800
Main St @ 318 S,40.10554100,-111.65502800
Center St @ 46 E,40.10967700,-111.65388200
Center St @ 370 E,40.10966100,-111.64841200
Center St @ 139 E,40.10994500,-111.65252200
800 E @ 185 N,40.11219200,-111.64077100
Center St @ 621 E,40.10989900,-111.64388400
State Rd @ 742 S,40.03215100,-111.73523600
Highway 198 @ 1902 W,40.04745500,-111.69927400
Highway 198 @ 2349 W,40.04601000,-111.70635100
State Rd @ 2192 W,40.04641400,-111.70555100
100 N @ 40 E,40.04446600,-111.73172800
Pony Express Pky @ 3917 E,40.36223300,-111.96864000
Pony Express Pky  @ 3916 E,40.36206900,-111.96858300
Hwy 198 @ 21 S,40.05691800,-111.67377000
State St @ 1049 S,40.21998800,-111.63901500
Ashton Blvd / 1800 W (EB),40.41859500,-111.88077000
Cabela's Blvd / Outlet Pkwy (EB),40.43390700,-111.88264800
500 W @ 118 S,40.23209600,-111.66763200
300 S / State St (EB),40.22961500,-111.64542100
400 E @ 175 S,40.16419400,-111.60328700
Center St / 150 E (EB),40.29693500,-111.74968600
Center St / 150 E (WB),40.29713000,-111.75036400
Center St / 600 W (EB),40.29706900,-111.70983200
Center St / 600 W (WB),40.29725200,-111.70923500
Center St / Orem Blvd (WB),40.29726700,-111.69824600
Center St / State St (EB),40.29702700,-111.69343200
Main St / Vineyard Loop Rd (NB),40.30800700,-111.75331800
Main St / Vineyard Loop Rd (SB),40.30741800,-111.75355400
State St / 700 E (WB),40.39343300,-111.83826900
State Hwy @ 1793 S,40.14232700,-111.61191200
Geneva Rd / 800 S (SB),40.28186700,-111.73196200
Geneva Rd @ 26 S,40.29613300,-111.73430000
Mill Rd / Geneva Rd (WB),40.29742300,-111.73568400
100 E @ 2148 N,40.38698100,-111.73970600
11000 N @ 5800 W,40.43199200,-111.79757700
11000 N @ 5799 W,40.43177400,-111.79733900
11000 N @ 6350 W,40.43191900,-111.81124200
State Hwy @ 1796 S,40.14244500,-111.61213600
Freedom Blvd / Paul Ream Ave (NB),40.25261600,-111.66188100
1600 N @ 567 E,40.32668200,-111.68238500
1600 N @ 152 E,40.32655600,-111.69268100
1600 N @ 695 E,40.32631200,-111.67949100
Express Way Lane @ 1212 E,40.12271100,-111.63380300
11000 N @ 6351 W,40.43168900,-111.81125100
State St / 800 N (SB),40.31092300,-111.70132700
800 E @ 624 S,40.28545100,-111.67634500
Hwy 198 @ 742 N,40.06584200,-111.66581100
Hwy 198 @ 741 N,40.06593500,-111.66604800
300 W / 4900 N (NB),40.29919100,-111.66292600
1200 W @ 251 S,40.29197500,-111.72416200
1200 W @ 148 N,40.29959700,-111.72422700
1200 W @ 720 N,40.31102900,-111.72276500
1200 W @ 759 N,40.31124900,-111.72298600
1200 W @ 361 N,40.30352100,-111.72449100
Orem Central Station (Bay A),40.28077600,-111.72622700
Orem Central Station (Bay E),40.28054300,-111.72620600
Provo Central Station (Bay D),40.22532600,-111.66091900
Provo Central Station (Bay B),40.22535400,-111.66143800
Provo Central Station (Bay L),40.22496400,-111.66143400
Provo Central Station (Bay M),40.22493600,-111.66121500
Provo Central Station (Bay N),40.22491200,-111.66088600
Provo Central Station (Bay C),40.22532600,-111.66122100
Lehi Station (Bay F),40.42571600,-111.89540300
Lehi Station (Bay A),40.42570800,-111.89611800
Center St / 1200 W (EB),40.29708500,-111.72210300
State St / 600 E (EB),40.39351300,-111.83918600
100 W @ 170 S,40.04186800,-111.73392400
State St / 1600 N (SB),40.32518300,-111.70750400
UVU Fulton Library (EB),40.28072300,-111.71573200
State St / Lehi Main St (EB),40.38927700,-111.82839600
State St / 100 E (EB),40.39671300,-111.84709100
Main St / Center St (WB),39.97569700,-111.78585800
Main St / 400 E (WB),39.97570400,-111.77767200
Mill Rd / Center St (EB),40.29778600,-111.73661900
1200 W @ 404 N,40.30485500,-111.72431100
800 E @ 838 N,40.31246700,-111.67654600
800 E @ 412 N,40.30486400,-111.67654400
Freedom Blvd / 500 N (SB),40.24009400,-111.66230300
Sparrowhawk Way @ 7746 N,40.35864900,-111.98050400
Harvest Hills Blvd @ 478 W,40.39902400,-111.93182200
State St / 1500 N (EB),40.40589000,-111.86014900
State St. @ 2931 S,40.19909700,-111.61912700
2600 N @ 556 W,40.39209400,-111.74922900
Mt Timpanogos Blvd @ 899 N,40.39584800,-111.77214800
Mt Timpanogos Blvd @ 898 N,40.39567600,-111.77231900
4800 W @ 10892 N,40.42955400,-111.77332600
State St / 1870 N (WB),40.41140600,-111.86687500
State St / 1870 N (EB),40.41087400,-111.86665500
State St / Pacific Dr. (NB),40.38186400,-111.81392600
State St / Lehi Main St (WB),40.38917800,-111.82742600
